iter	Passed	Remaining
0	149	149274
1	150	75186
2	155	51588
3	156	39043
4	158	31496
5	159	26419
6	160	22787
7	161	20073
8	163	17974
9	164	16283
10	165	14887
11	167	13816
12	172	13113
13	173	12250
14	175	11498
15	176	10847
16	177	10262
17	178	9738
18	180	9297
19	181	8878
20	184	8595
21	186	8279
22	187	7982
23	189	7707
24	190	7435
25	191	7188
26	193	6956
27	194	6739
28	195	6540
29	196	6354
30	199	6246
31	201	6099
32	203	5948
33	204	5801
34	205	5662
35	207	5556
36	208	5430
37	209	5309
38	210	5198
39	213	5116
40	215	5047
41	217	4960
42	218	4873
43	220	4782
44	221	4693
45	222	4615
46	223	4535
47	224	4458
48	225	4385
49	228	4341
50	231	4303
51	233	4248
52	234	4184
53	235	4122
54	236	4064
55	237	4007
56	238	3951
57	240	3900
58	241	3849
59	243	3820
60	246	3797
61	248	3758
62	249	3716
63	252	3685
64	253	3644
65	254	3601
66	255	3561
67	257	3522
68	261	3523
69	262	3484
70	263	3449
71	265	3415
72	266	3379
73	267	3345
74	269	3323
75	278	3388
76	280	3364
77	284	3368
78	287	3353
79	290	3336
80	291	3310
81	293	3281
82	293	3245
83	294	3215
84	296	3186
85	297	3159
86	298	3132
87	299	3107
88	302	3096
89	310	3135
90	312	3124
91	314	3102
92	315	3081
93	319	3080
94	321	3062
95	322	3039
96	324	3023
97	326	3006
98	327	2982
99	329	2961
100	330	2938
101	331	2916
102	334	2911
103	337	2911
104	339	2891
105	340	2874
106	342	2855
107	343	2835
108	344	2814
109	345	2795
110	346	2775
111	348	2763
112	351	2760
113	353	2744
114	354	2726
115	355	2708
116	356	2688
117	357	2671
118	358	2655
119	359	2638
120	360	2621
121	361	2603
122	365	2607
123	367	2596
124	370	2591
125	371	2576
126	372	2559
127	373	2544
128	374	2529
129	375	2514
130	376	2500
131	380	2501
132	382	2491
133	383	2478
134	384	2464
135	385	2451
136	387	2438
137	388	2426
138	389	2414
139	391	2402
140	392	2389
141	392	2374
142	397	2380
143	398	2369
144	399	2357
145	401	2345
146	402	2333
147	403	2321
148	404	2309
149	405	2300
150	407	2289
151	412	2301
152	414	2291
153	415	2280
154	417	2278
155	419	2267
156	420	2257
157	421	2246
158	422	2237
159	425	2233
160	426	2223
161	429	2222
162	430	2211
163	431	2201
